turn,Vrf_kV,K0_GeV,phi_s_deg,time_mean_ns,time_sigma_ns,time_min_ns,time_max_ns,dE_mean_MeV,dE_sigma_MeV,dE_min_MeV,dE_max_MeV,t2,dE2,t_dE,eps_rms,Q1,Q2,Q_amp,theta_Q,gamma,Zon_ohm,unstable
0,320.0,24.0,0.0,0.07665896197208628,7.652808502078009,-15.288302716689884,15.329592302567505,-0.08630464284609551,14.065323071764608,-27.958893277184554,27.906014579339296,58.57135456592808,0.0001978407616044906,-2.7207308700507026e-05,0.10764664720878316,-0.0034798895189642083,-0.00012662856464809336,0.0034821926795600765,-1.5526100140985581,26.57893624393974,274.5104975058442,False
1,320.0,24.0,0.0,0.07654474949494212,7.652828238319133,-15.286808874166326,15.330477124486606,-0.08664704631324038,14.065286018085793,-27.95863614830932,27.907067372030685,58.57163914388997,0.00019783977848119452,-2.253794498749584e-05,0.10764664233290645,-0.0034774273227603197,-0.0001048963591107059,0.003479009058803194,-1.5557184328719056,26.57893624393974,274.50975911337997,False
2,320.0,24.0,0.0,0.07643007674442828,7.652848797479331,-15.285223716540145,15.3312703751061,-0.08698894017758743,14.065247481278446,-27.95821076379902,27.907952156599034,58.57193627371201,0.00019783875378532288,-1.7871275000325838e-05,0.10764663747559448,-0.0034748588088965946,-8.317669074267773e-05,0.003475854154542328,-1.55883025637789,26.57893624393974,274.50899234359287,False
3,320.0,24.0,0.0,0.07631494440518628,7.652870179045853,-15.283547253051609,15.331972049846513,-0.08733032236641255,14.065207462332637,-27.95761712633074,27.908668927472796,58.57224594806887,0.00019783768754366233,-1.3207410184565061e-05,0.10764663263738865,-0.0034721840426396484,-6.147007823522425e-05,0.003472728120149871,-1.561945462789337,26.57893624393974,274.5081972162604,False
4,320.0,24.0,0.0,0.07619935316463862,7.652892382486028,-15.281779493478467,15.332582144664116,-0.08767119080997035,14.06516596227315,-27.956855239640426,27.909217680138394,58.57256815933538,0.00019783657978398526,-8.54646191069297e-06,0.10764662781882792,-0.0034694030917863826,-3.977703993009998e-05,0.003469631108086638,-1.5650640298926943,26.57893624393974,274.5073737517822,False
5,320.0,24.0,0.0,0.07608330371300367,7.652915407247319,-15.279920448134192,15.333100656055564,-0.08801154344150684,14.065122982159451,-27.955925108522862,27.909598411140266,58.572902899587284,0.0001978354305350489,-3.8885414712450885e-06,0.10764662302044922,-0.003466516026659774,-1.809809380628549e-05,0.003466563269881063,-1.5681859350880516,26.57893624393974,274.5065219711808,False
6,320.0,24.0,0.0,0.07596679674325482,7.652939252757306,-15.277970127870958,15.33352758105542,-0.08835137819727368,14.06507852308564,-27.95482673883163,27.909811118080903,58.57325016060096,0.00019783423982659432,7.662399218415939e-07,0.10764661824278694,-0.0034635229201085784,3.56624253236264e-06,0.00346352475611237,1.5702814982006703,26.57893624393974,274.50564189609855,False
7,320.0,24.0,0.0,0.07584983295115863,7.6529639184236995,-15.275928544077118,15.333862917238605,-0.08869069301654117,14.065032586180447,-27.95356013747903,27.90985579962086,58.573609933853746,0.0001978330076893456,5.417771140034411e-06,0.10764661348637296,-0.00346042384750518,2.5215451870168072e-05,0.0034605157163919323,1.5671529861663762,26.57893624393974,274.50473354879847,False
8,320.0,24.0,0.0,0.07573241303524311,7.652989403634391,-15.273795708677625,15.334106662716664,-0.08902948584161173,14.064985172607171,-27.952125312436053,27.90973245547877,58.573982210524406,0.0001978317341550088,1.0065941140464773e-05,0.10764660875173686,-0.0034572188867419917,4.6849017390150394e-05,0.0034575362993432127,1.5640212061576573,26.57893624393974,274.5037969521637,False
9,320.0,24.0,0.0,0.07561453769680768,7.65301570775744,-15.27157163413446,15.334258816140704,-0.08936775461783332,14.064936283563663,-27.9505222727323,27.90944108643135,58.57436698149321,0.00019783041925627103,1.4710638968793922e-05,0.10764660403940564,-0.0034539081182301977,6.846642268736768e-05,0.0034545866525840787,1.5608861823192173,26.57893624393974,274.5028321296967,False
10,320.0,24.0,0.0,0.07549620763990811,7.653042830141093,-15.26925633344706,15.334319376700535,-0.08970549729361302,14.064885920282281,-27.948751028455902,27.90898169431339,58.57476423734201,0.00019782906302679944,1.9351753761849322e-05,0.10764659934990364,-0.0034504916248981003,9.006715178119222e-05,0.0034516669227087813,1.557747939181326,26.57893624393974,274.50183910551755,False
11,320.0,24.0,0.0,0.07537742357136153,7.653070770113814,-15.26684982015098,15.334288344124275,-0.09004271182042999,14.064834084029867,-27.94681159075343,27.908354282017736,58.575173968354704,0.00019782766550124022,2.3989174749957564e-05,0.10764659468375265,-0.0034469694921874868,0.00011165068912614515,0.00344877725526796,1.554606501659588,26.57893624393974,274.50081790436496,False
12,320.0,24.0,0.0,0.07525818620074214,7.6530995269842945,-15.265318575945571,15.334165718678719,-0.09037939615284922,14.06478077610769,-27.94470397182981,27.907558853495267,58.57559616451746,0.0001978262267152174,2.862279125999667e-05,0.10764659004147169,-0.0034433418080519174,0.00013321651962613413,0.003445917794750703,1.5514618950541248,26.57893624393974,274.4997685515941,False
13,320.0,24.0,0.0,0.07513849624037908,7.653129100041476,-15.268558583454848,15.333951501169423,-0.09071554824853478,14.064725997851436,-27.942428184948202,27.90659541375487,58.576030815518926,0.00019782474670533212,3.325249271774306e-05,0.10764658542357713,-0.0034396086629540357,0.0001547641286453482,0.0034430886845656186,1.5483141450491398,26.57893624393974,274.49869107317693,False
14,320.0,24.0,0.0,0.07501835440532134,7.653159488554571,-15.271707387561435,15.333645692941019,-0.0910511660682632,14.064669750631143,-27.939984244429898,27.90546396886338,58.57647791075055,0.00019782322550916117,3.787816865034539e-05,0.10764658083058255,-0.003435770149862956,0.00017629300201978994,0.0034402900670220337,1.5451632777122921,26.57893624393974,274.4975854957011,False
15,320.0,24.0,0.0,0.07489776141338887,7.653190691773069,-15.274764969660652,15.333248295876473,-0.09138624757593651,14.064612035851185,-27.937372165654192,27.904164525945536,58.57693743930671,0.000197821663165256,4.249970868920543e-05,0.10764657626299856,-0.003431826364252449,0.00019780262607068657,0.003437522083312141,1.5420093194937055,26.57893624393974,274.49645184636927,False
16,320.0,24.0,0.0,0.07477671798512432,7.6532227089267835,-15.277731311683198,15.332759312397457,-0.0917207907385958,14.064552854950215,-27.934591965058257,27.90269709318392,58.577409389985235,0.00019782005971314187,4.711700257250999e-05,0.10764657172133307,-0.003427777404096889,0.00021929248761625147,0.003434784873490934,1.5388522972250973,26.57893624393974,274.49529015299817,False
17,320.0,24.0,0.0,0.07465522484380362,7.6532555392258415,-15.280606396097596,15.332178745463494,-0.09205479352643461,14.064492209401127,-27.931643660136974,27.90106167981888,58.577893751287505,0.0001978184151933162,5.172994014778971e-05,0.1076465672060909,-0.0034236233698698966,0.000240762073983608,0.003432078576458907,1.5356922381188034,26.57893624393974,274.49410044401793,False
18,320.0,24.0,0.0,0.07453328271543941,7.6532891818607265,-15.283390205909399,15.331506598574094,-0.09238825391281187,14.064430100711036,-27.928527269442814,27.90568112807569,58.57839051141876,0.00019781672964724772,5.633841137439384e-05,0.1076465627177739,-0.003419364364541126,0.0002622108730203182,0.0034294033299429533,1.532529169766745,26.57893624393974,274.49288274847174,False
19,320.0,24.0,0.0,0.07441089232875818,7.653323636002287,-15.28608272466036,15.330742875766674,-0.09272116987426547,14.064366530421214,-27.925242812585658,27.91028420919251,58.578899658288435,0.0001978150031173753,6.094230632633555e-05,0.10764655825688085,-0.003415000493573354,0.0002836383731076062,0.003426759270477776,1.5293631201390467,26.57893624393974,274.49163709601464,False
20,320.0,24.0,0.0,0.0742880544152149,7.653358900801784,-15.288683936428356,15.329887581616873,-0.09305353939052544,14.06430150010705,-27.921790310232634,27.914719278802494,58.579421179510696,0.00019781323564710645,6.554151519470453e-05,0.10764655382390759,-0.003410531864918713,0.00030504406317159667,0.0034241465333864074,1.5261941175828293,26.57893624393974,274.4903635169136,False
