turn,time_sigma_ns,Q1
0,19.01871413361404,-0.0034822578598932394
1,19.018713980638342,-0.0034822645994955037
2,19.018713940173342,-0.003482265553671541
3,19.018714012218226,-0.003482260722516086
4,19.01871419677206,-0.0034822501061283406
5,19.01871449383388,-0.0034822337046103383
6,19.01871490340262,-0.0034822115180678493
7,19.018715425477186,-0.0034821835466095708
8,19.01871606005638,-0.003482149790348174
9,19.018716807138944,-0.0034821102493996863
10,19.018717666723546,-0.0034820649238834064
11,19.018718638808792,-0.0034820138139221627
12,19.01871972339322,-0.003481956919642105
13,19.018720920475282,-0.003481894241173056
14,19.01872223005338,-0.003481825778648069
15,19.018723652125843,-0.0034817515322033863
16,19.01872518669091,-0.003481671501979398
17,19.01872683374678,-0.0034815856881192445
18,19.01872859329156,-0.003481494090769803
19,19.018730465323298,-0.0034813967100813335
20,19.01873244983997,-0.003481293546207471
21,19.018734546839486,-0.003481184599305252
22,19.018736756319683,-0.0034810698695353017
23,19.018739078278312,-0.003480949357061779
24,19.018741512713085,-0.003480823062051936
25,19.018744059621618,-0.0034806909846766994
26,19.01874671900148,-0.0034805531251101366
27,19.018749490850155,-0.003480409483530046
28,19.018752375165057,-0.003480260060117616
29,19.01875537194354,-0.003480104855057207
30,19.018758481182882,-0.003479943868536945
31,19.018761702880287,-0.003479777100748245
32,19.0187650370329,-0.003479604551885847
33,19.018768483637793,-0.003479426222148016
34,19.018772042691957,-0.0034792421117365124
35,19.018775714192323,-0.003479052220856549
36,19.01877949813577,-0.003478856549716255
37,19.018783394519073,-0.003478655098527891
38,19.018787403338955,-0.0034784478675069026
39,19.01879152459207,-0.0034782348568718957
40,19.018795758275004,-0.0034780160668450967
41,19.018800104384276,-0.0034777914976521556
42,19.018804562916312,-0.0034775611495223126
43,19.018809133867503,-0.0034773250226878675
44,19.018813817234147,-0.003477083117384764
45,19.018818613012474,-0.0034768354338525244
46,19.018823521198648,-0.003476581972333816
47,19.018828541788775,-0.003476322733074712
48,19.018833674778882,-0.003476057716324732
49,19.018838920164914,-0.0034757869223371904
50,19.018844277942762,-0.0034755103513684246
51,19.01884974810825,-0.0034752280036781293
52,19.018855330657118,-0.003474939879529654
53,19.018861025585046,-0.003474645979189826
54,19.018866832887653,-0.0034743463029285222
55,19.018872752560465,-0.003474040851019416
56,19.01887878459896,-0.003473729623739497
57,19.018884928998524,-0.0034734126213692507
58,19.018891185754505,-0.003473089844192123
59,19.018897554862164,-0.003472761292495405
60,19.018904036316684,-0.0034724269665698357
61,19.01891063011319,-0.0034720868667093775
62,19.018917336246734,-0.003471740993211492
63,19.0189241547123,-0.003471389346377066
64,19.0189310855048,-0.0034710319265103
65,19.018938128619084,-0.003470668733918869
66,19.018945284049916,-0.003470299768914115
67,19.01895255179202,-0.00346992503180999
68,19.01895993184002,-0.0034695445229248824
69,19.01896742418847,-0.003469158242580247
70,19.018975028831896,-0.0034687661911002943
71,19.018982745764703,-0.0034683683688136206
72,19.018990574981252,-0.003467964776051813
73,19.018998516475836,-0.003467555413149625
