turn,time_sigma_ns,Q1
0,15.305579877171324,-0.0034822109001779035
1,15.30558074445497,-0.003482165639650945
2,15.30558178034554,-0.003482109553489733
3,15.305582984839813,-0.0034820426420073373
4,15.305584357934293,-0.003481964905533056
5,15.305585899625262,-0.0034818763444110713
6,15.305587609908732,-0.0034817769590017185
7,15.305589488780472,-0.003481666749680761
8,15.305591536235987,-0.0034815457168398765
9,15.305593752270541,-0.0034814138608861107
10,15.305596136879133,-0.0034812711822424475
11,15.305598690056536,-0.003481117681347004
12,15.305601411797253,-0.003480953358653666
13,15.30560430209554,-0.003480778214632256
14,15.305607360945404,-0.0034805922497678347
15,15.305610588340592,-0.003480395464561288
16,15.305613984274617,-0.003480187859528958
17,15.305617548740711,-0.003479969435203324
18,15.305621281731886,-0.00347974019213175
19,15.305625183240881,-0.00347950013087781
20,15.305629253260202,-0.0034792492520200583
21,15.305633491782084,-0.003478987556153229
22,15.305637898798528,-0.003478715043887408
23,15.305642474301273,-0.0034784317158483105
24,15.305647218281818,-0.003478137572677106
25,15.305652130731394,-0.003477832615030772
26,15.305657211640993,-0.003477516843581876
27,15.305662461001354,-0.003477190259018432
28,15.305667878802964,-0.0034768528620441417
29,15.305673465036062,-0.0034765046533782487
30,15.305679219690633,-0.003476145633755398
31,15.305685142756401,-0.00347577580392642
32,15.305691234222857,-0.0034753951646571066
33,15.305697494079231,-0.0034750037167291126
34,15.305703922314507,-0.0034746014609394324
35,15.30571051891742,-0.0034741883981005985
36,15.305717283876445,-0.0034737645290411636
37,15.305724217179803,-0.003473329854605067
38,15.305731318815482,-0.0034728843756514833
39,15.30573858877121,-0.003472428093055454
40,15.305746027034452,-0.0034719610077075837
41,15.305753633592445,-0.0034714831205138845
42,15.305761408432161,-0.0034709944323959635
43,15.305769351540329,-0.003470494944290866
44,15.305777462903412,-0.003469984657151653
45,15.30578574250764,-0.003469463571946457
46,15.305794190338986,-0.0034689316896589395
47,15.30580280638317,-0.0034683890112885566
48,15.30581159062567,-0.0034678355378501458
49,15.3058205430517,-0.003467271270374209
50,15.305829663646234,-0.0034666962099066134
51,15.305838952393993,-0.0034661103575088503
52,15.305848409279447,-0.0034655137142578433
53,15.305858034286814,-0.0034649062812462466
54,15.305867827400064,-0.0034642880595820266
55,15.305877788602922,-0.003463659050388599
56,15.305887917878858,-0.0034630192548050125
57,15.305898215211084,-0.0034623686739859516
58,15.305908680582561,-0.0034617073091017803
59,15.30591931397603,-0.0034610351613374264
60,15.305930115373943,-0.003460352231894446
61,15.30594108475853,-0.0034596585219891425
62,15.305952222111754,-0.0034589540328536067
63,15.305963527415337,-0.003458238765735452
64,15.305975000650744,-0.0034575127218977506
65,15.305986641799196,-0.003456775902619027
66,15.305998450841656,-0.0034560283091933544
67,15.306010427758856,-0.0034552699429299645
68,15.306022572531257,-0.003454500805154011
69,15.30603488513908,-0.0034537208972059245
70,15.306047365562307,-0.0034529302204412515
71,15.306060013780645,-0.003452128776231801
72,15.306072829773573,-0.003451316565964044
73,15.30608581352031,-0.0034504935910404386
74,15.306098964999835,-0.003449659852878533
75,15.30611228419086,-0.0034488153529117034
76,15.306125771071864,-0.003447960092588589
77,15.306139425621073,-0.0034470940733730714
78,15.306153247816463,-0.0034462172967446854
79,15.306167237635758,-0.0034453297641984185
80,15.30618139505643,-0.0034444314772447597
81,15.306195720055717,-0.0034435224374092747
82,15.306210212610587,-0.0034426026462334464
83,15.306224872697765,-0.0034416721052740753
84,15.306239700293753,-0.003440730816102557
85,15.30625469537477,-0.0034397787803067408
86,15.306269857916792,-0.00343881599948975
87,15.306285187895567,-0.0034378424752695195
88,15.30630068528657,-0.003436858209279918
89,15.306316350065034,-0.0034358632031702783
90,15.306332182205947,-0.003434857458604982
91,15.306348181684053,-0.003433840977263864
92,15.30636434847384,-0.0034328137608422024
93,15.30638068254955,-0.003431775811050737
94,15.306397183885172,-0.00343072712961559
95,15.30641385245446,-0.0034296677182778794
96,15.306430688230902,-0.003428597578794694
97,15.306447691187744,-0.003427516712938306
98,15.30646486129799,-0.0034264251224960527
99,15.306482198534384,-0.003425322809271158
100,15.306499702869436,-0.0034242097750816648
101,15.306517374275398,-0.0034230860217612288
102,15.306535212724278,-0.0034219515511587865
103,15.306553218187828,-0.003420806365138845
104,15.306571390637565,-0.003419650465580951
105,15.306589730044758,-0.00341848385437993
106,15.306608236380413,-0.003417306533446299
107,15.306626909615293,-0.0034161185047059677
108,15.306645749719925,-0.003414919770099681
109,15.306664756664572,-0.0034137103315839234
110,15.306683930419261,-0.0034124901911303353
111,15.306703270953768,-0.0034112593507258154
112,15.306722778237626,-0.003410017812372667
113,15.306742452240107,-0.003408765578088591
114,15.306762292930255,-0.003407502649906261
115,15.30678230027685,-0.0034062290298738462
116,15.306802474248434,-0.003404944720055073
117,15.306822814813295,-0.0034036497225285616
118,15.306843321939471,-0.003402344039388532
119,15.306863995594771,-0.003401027672744145
120,15.306884835746747,-0.0033997006247199445
121,15.306905842362692,-0.003398362897456049
122,15.306927015409665,-0.003397014493107608
123,15.306948354854475,-0.003395655413844917
124,15.306969860663683,-0.0033942856618538256
125,15.30699153280361,-0.003392905239335153
126,15.307013371240327,-0.003391514148504913
127,15.307035375939655,-0.0033901123915946606
128,15.307057546867163,-0.0033886999708512213
129,15.307079883988187,-0.003387276888536333
130,15.307102387267811,-0.003385843146927217
131,15.30712505667087,-0.003384398748316211
132,15.307147892161943,-0.0033829436950111725
133,15.307170893705386,-0.003381477989334799
134,15.3071940612653,-0.0033800016336247565
135,15.307217394805523,-0.003378514630234885
136,15.307240894289675,-0.0033770169815331413
137,15.307264559681103,-0.003375508689903552
138,15.30728839094293,-0.0033739897577447562
139,15.307312388038017,-0.003372460187470964
140,15.307336550928987,-0.0033709199815113843
141,15.307360879578221,-0.003369369142310259
142,15.307385373947849,-0.0033678076723273106
143,15.307410033999748,-0.0033662355740374066
144,15.307434859695562,-0.0033646528499304638
145,15.307459850996697,-0.0033630595025112234
146,15.30748500786429,-0.003361455534300262
147,15.307510330259245,-0.0033598409478329317
148,15.307535818142226,-0.0033582157456596958
149,15.30756147147363,-0.0033565799303467074
150,15.307587290213643,-0.003354933504474284
151,15.307613274322179,-0.0033532764706387134
152,15.307639423758925,-0.0033516088314509552
153,15.307665738483303,-0.0033499305895372993
154,15.30769221845451,-0.0033482417475389427
155,15.307718863631482,-0.003346542308112758
156,15.30774567397292,-0.0033448322739301033
157,15.307772649437288,-0.003343111647677557
158,15.307799789982782,-0.003341380432057079
159,15.307827095567383,-0.0033396386297852034
160,15.307854566148805,-0.0033378862435941643
161,15.307882201684517,-0.0033361232762312383
162,15.30791000213176,-0.0033343497304582654
163,15.307937967447526,-0.003332565609052469
